"Timestamp","What is your University?","What is your Studying Degree Programme?","Do you wish to do higher studies?","Place interest to work","How far should you hope live from work?","Expecting salary range?","Wish to work sector?","Wish to work industry field?","Wish to work industry field job?","In a Department which  position would u prefer?"
"2018/08/08 5:17:08 PM GMT+5:30","SLIIT","BSc Hons in  Software Engineering ","Yes","Home country","10 km to 30 km","Rs.50 000 to 100 000","Goverment","IT","Lecturer","group leader"
"2018/08/08 5:37:22 PM GMT+5:30","SLIIT","Yes","Yes","abroad","Less than 5 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","assistant head"
"2018/08/08 5:41:29 PM GMT+5:30","SLIIT","BSC hons in IT - spc Cyber Security","Yes","Home country","5 km to 10 km","Geater than Rs. 150 000","Private","IT","Cyber Security","other"
"2018/08/08 7:14:16 PM GMT+5:30","SLIIT","Data Science","Maybe","abroad","Less than 5 km","Geater than Rs. 150 000","Private","IT","","other"
"2018/08/08 7:47:22 PM GMT+5:30","SLIIT","Bsc in software engineering ","Yes","abroad","Less than 5 km","Geater than Rs. 150 000","Private","IT","Software Engineer","head"
"2018/08/08 8:12:22 PM GMT+5:30","SLIIT","Bsc(hons) in information technology","Maybe","Home country","10 km to 30 km","Geater than Rs. 150 000","Private","IT","Software Engineer","other"
"2018/08/08 9:14:31 PM GMT+5:30","SLIIT","Bsc in Data Science ","Maybe","abroad","5 km to 10 km","Geater than Rs. 150 000","Private","IT","Data Scientist","other"
"2018/08/08 9:21:11 PM GMT+5:30","SLIIT","Data science ","Yes","Home country","10 km to 30 km","Rs.100 000 to 150 000","Private","IT","Lecturer","other"
"2018/08/08 10:29:36 PM GMT+5:30","SLIIT","Information Technology ","Maybe","Home country","10 km to 30 km","Rs.50 000 to 100 000","Private","IT","",""
"2018/08/09 12:13:13 AM GMT+5:30","SLIIT","BSC in IT","Maybe","Home country","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Business Analyst","assistant head"
"2018/08/09 12:17:14 AM GMT+5:30","Brazzers","Positioning ","Yes","abroad","Less than 5 km","Rs.100 000 to 150 000","Private","Health and Medical","Male performer","group leader"
"2018/08/09 6:41:08 AM GMT+5:30","Jaffna ","Physical science ","Yes","abroad","5 km to 10 km","Rs.100 000 to 150 000","Goverment","","Lecturer",""
"2018/08/09 7:53:25 AM GMT+5:30","SLIIT","Bsc in IT","Maybe","Home country","Less than 5 km","Geater than Rs. 150 000","Private","IT","Software Engineer","head"
"2018/08/09 4:38:06 PM GMT+5:30","University of Colombo","bioinformatics","Yes","Home country","5 km to 10 km","Geater than Rs. 150 000","Private","IT","Lecturer","head"
"2018/08/09 4:46:14 PM GMT+5:30","University of Moratuwa","Information Technology","Yes","Home country","","Geater than Rs. 150 000","Private","IT","Data Scientist","assistant head"
"2018/08/09 4:51:38 PM GMT+5:30","University of Moratuwa","Bsc(Hons) IT","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Lecturer","group leader"
"2018/08/09 5:11:48 PM GMT+5:30","University of Moratuwa","BSc. Engineering(Hons.)","Maybe","Home country","Less than 5 km","Rs.50 000 to 100 000","Private","Engineering","Electrical Engineering","head"
"2018/08/09 5:14:57 PM GMT+5:30","University of Moratuwa","Bsc Engineering Hons","Maybe","abroad","Less than 5 km","Geater than Rs. 150 000","Goverment","Engineering","Lecturer","head"
"2018/08/09 5:17:09 PM GMT+5:30","University of Moratuwa","BSC","No","abroad","5 km to 10 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","other"
"2018/08/09 5:36:00 PM GMT+5:30","University of Colombo","IS & MF","Yes","Home country","5 km to 10 km","Rs.100 000 to 150 000","Goverment","Banking and Accounting","Teacher","head"
"2018/08/09 6:28:22 PM GMT+5:30","University of Colombo","Bsc","No","Home country","5 km to 10 km","Rs.50 000 to 100 000","Goverment","Banking and Accounting","","assistant head"
"2018/08/09 6:35:31 PM GMT+5:30","University of Moratuwa","Engineering ","Maybe","Home country","Less than 5 km","Geater than Rs. 150 000","Goverment","Engineering","","head"
"2018/08/09 6:55:09 PM GMT+5:30","University of Moratuwa","Bsc engineering","No","Home country","10 km to 30 km","Rs.100 000 to 150 000","Goverment","Engineering","","group leader"
"2018/08/09 7:06:17 PM GMT+5:30","University of Moratuwa","BSc Engineering ","No","Home country","Less than 5 km","Rs.50 000 to 100 000","Private","Engineering","Textile ","head"
"2018/08/09 7:49:42 PM GMT+5:30","University of Colombo","Statistics with Computer Science","Maybe","Home country","Geater than 30 km","Rs.50 000 to 100 000","Private","IT","Data Scientist","other"
"2018/08/09 10:37:57 PM GMT+5:30","University of Colombo","Applied statistics General Degree 4 Year","Maybe","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","Health and Medical","Data Scientist","other"
"2018/08/09 11:40:30 PM GMT+5:30","Kursk state medical university, Russia ","Medicine ","Yes","abroad","Less than 5 km","Rs.100 000 to 150 000","Private","Health and Medical","Doctor ","head"
"2018/08/10 6:19:58 AM GMT+5:30","SLIIT","Data sceince","Yes","abroad","Geater than 30 km","Rs.100 000 to 150 000","Goverment","Education","Lecturer","assistant head"
